,iteration,loss
0,0,9.271404266357422
0,6400,9.331036567687988
0,12800,9.262527465820312
0,19200,9.1948823928833
0,25600,9.040044784545898
0,32000,8.9962739944458
0,38400,8.966094970703125
0,44800,8.89201831817627
0,51200,8.712021827697754
0,57600,8.617757797241211
0,64000,8.520256042480469
0,70400,8.394060134887695
0,76800,8.347787857055664
0,83200,8.335466384887695
0,89600,8.05587100982666
0,96000,8.18354606628418
0,102400,8.110539436340332
0,108800,7.952019691467285
0,115200,8.05993366241455
0,121600,7.906141757965088
0,128000,7.826152801513672
0,134400,7.772615432739258
0,140800,7.733861923217773
0,147200,7.690678596496582
0,153600,7.572298049926758
0,160000,7.587472438812256
0,166400,7.6117658615112305
0,172800,7.300561428070068
0,179200,7.392248630523682
0,185600,7.28531551361084
0,192000,7.309110641479492
0,198400,7.033395290374756
0,204800,6.95451021194458
0,211200,6.901241779327393
0,217600,6.941592216491699
0,224000,7.060565948486328
0,230400,6.8472418785095215
0,236800,6.911366939544678
0,243200,6.915269374847412
0,249600,6.903687953948975
0,256000,6.788461208343506
0,262400,6.812002658843994
0,268800,6.770728588104248
0,275200,6.671733379364014
0,281600,6.7087554931640625
0,288000,6.668824672698975
0,294400,6.791069507598877
0,300800,6.6293721199035645
0,307200,6.715096950531006
0,313600,6.614882946014404
0,320000,6.537641525268555
0,326400,6.514498710632324
0,332800,6.581718444824219
0,339200,6.616769790649414
0,345600,6.619428634643555
0,352000,6.589724063873291
0,358400,6.408989429473877
0,364800,6.496574401855469
0,371200,6.497765064239502
0,377600,6.557290554046631
0,384000,6.396327495574951
0,390400,6.440996170043945
0,396800,6.3515496253967285
0,403200,6.31309700012207
0,409600,6.384113788604736
0,416000,6.383049488067627
0,422400,6.3946661949157715
0,428800,6.398462772369385
0,435200,6.39285945892334
0,441600,6.335540294647217
0,448000,6.34114933013916
0,454400,6.3023223876953125
0,460800,6.336844444274902
0,467200,6.2676544189453125
0,473600,6.232369422912598
0,480000,6.305449485778809
0,486400,6.266519069671631
0,492800,6.358606338500977
0,499200,6.241265773773193
0,505600,6.221805572509766
0,512000,6.272909641265869
0,518400,6.346401214599609
0,524800,6.3328752517700195
0,531200,6.227367401123047
0,537600,6.235320091247559
0,544000,6.253182411193848
0,550400,6.282103538513184
0,556800,6.210174560546875
0,563200,6.304609775543213
0,569600,6.144711971282959
0,576000,6.1577653884887695
0,582400,6.222694396972656
0,588800,6.107334613800049
0,595200,6.113818168640137
0,601600,6.112554550170898
0,608000,6.1831841468811035
0,614400,6.282448768615723
0,620800,6.255673885345459
0,627200,6.173682689666748
0,633600,6.153807640075684
0,640000,5.97733211517334
0,646400,6.106045246124268
0,652800,6.1349358558654785
0,659200,6.15116024017334
0,665600,6.11361026763916
0,672000,6.000491142272949
0,678400,6.095541000366211
0,684800,6.086880683898926
0,691200,6.07543420791626
0,697600,6.116629600524902
0,704000,6.150637626647949
0,710400,6.067837238311768
0,716800,6.067846298217773
0,723200,6.0433454513549805
0,729600,6.156584739685059
0,736000,6.129626750946045
0,742400,6.089692115783691
0,748800,5.987715244293213
0,755200,6.008452415466309
0,761600,5.873873233795166
0,768000,6.020420551300049
0,774400,6.0013837814331055
0,780800,5.945585250854492
0,787200,6.016703128814697
0,793600,5.968554496765137
0,800000,6.0424418449401855
0,806400,6.046239376068115
0,812800,5.9648051261901855
0,819200,6.053771495819092
0,825600,6.01395320892334
0,832000,5.987304210662842
0,838400,6.035249710083008
0,844800,5.832258701324463
0,851200,5.9870924949646
0,857600,5.984947681427002
0,864000,5.8650360107421875
0,870400,5.956733226776123
0,876800,5.915862560272217
0,883200,5.93415641784668
0,889600,5.977444648742676
0,896000,6.098621368408203
0,902400,5.921558856964111
0,908800,5.850624084472656
0,915200,6.026346683502197
0,921600,6.026130199432373
0,928000,6.019099712371826
0,934400,5.917248725891113
0,940800,5.883969306945801
0,947200,5.963837623596191
0,953600,5.993985176086426
0,960000,5.99417781829834
0,966400,5.806247234344482
0,972800,5.834835052490234
0,979200,5.946582794189453
0,985600,5.844651699066162
0,992000,5.9498372077941895
0,998400,5.95210599899292
0,998848,6.034368515014648
0,1005248,5.90571928024292
0,1011648,5.9400529861450195
0,1018048,5.914467811584473
0,1024448,5.809763431549072
0,1030848,5.930057048797607
0,1037248,5.895806789398193
0,1043648,5.954620361328125
0,1050048,5.948248863220215
0,1056448,5.833640098571777
0,1062848,5.898164749145508
0,1069248,5.905611991882324
0,1075648,5.906653881072998
0,1082048,5.886730194091797
0,1088448,5.907540321350098
0,1094848,5.815734386444092
0,1101248,5.8376336097717285
0,1107648,5.9061970710754395
0,1114048,5.883625030517578
0,1120448,5.859838962554932
0,1126848,5.851691722869873
0,1133248,5.937610626220703
0,1139648,5.868830680847168
0,1146048,5.898390293121338
0,1152448,5.921108245849609
0,1158848,5.790341854095459
0,1165248,5.892523288726807
0,1171648,5.862860679626465
0,1178048,5.8421525955200195
0,1184448,5.8109965324401855
0,1190848,5.875819683074951
0,1197248,5.892823696136475
0,1203648,5.830018997192383
0,1210048,5.837642192840576
0,1216448,5.879482746124268
0,1222848,5.7937846183776855
0,1229248,5.944181442260742
0,1235648,5.85420560836792
0,1242048,5.778862953186035
0,1248448,5.7921600341796875
0,1254848,5.785064697265625
0,1261248,5.871222972869873
0,1267648,5.818868160247803
0,1274048,5.762050151824951
0,1280448,5.8181681632995605
0,1286848,5.862905502319336
0,1293248,5.781980991363525
0,1299648,5.752139091491699
0,1306048,5.84647274017334
0,1312448,5.8738298416137695
0,1318848,5.6755242347717285
0,1325248,5.811324119567871
0,1331648,5.770082950592041
0,1338048,5.888030529022217
0,1344448,5.802218437194824
0,1350848,5.844732761383057
0,1357248,5.667641639709473
0,1363648,5.686770915985107
0,1370048,5.866109848022461
0,1376448,5.878275394439697
0,1382848,5.783205986022949
0,1389248,5.881905555725098
0,1395648,5.791685581207275
0,1402048,5.872164249420166
0,1408448,5.713074207305908
0,1414848,5.926414489746094
0,1421248,5.8217244148254395
0,1427648,5.833460807800293
0,1434048,5.828955173492432
0,1440448,5.794628620147705
0,1446848,5.864587306976318
0,1453248,5.586539268493652
0,1459648,5.795159816741943
0,1466048,5.828728675842285
0,1472448,5.812308311462402
0,1478848,5.8746418952941895
0,1485248,5.831023216247559
0,1491648,5.71972131729126
0,1498048,5.839659690856934
0,1504448,5.622666358947754
0,1510848,5.799410820007324
0,1517248,5.680826663970947
0,1523648,5.795638084411621
0,1530048,5.659066677093506
0,1536448,5.69019889831543
0,1542848,5.889638423919678
0,1549248,5.725299835205078
0,1555648,5.735314846038818
0,1562048,5.753767967224121
0,1568448,5.677535057067871
0,1574848,5.745459079742432
0,1581248,5.880598068237305
0,1587648,5.74015474319458
0,1594048,5.646047592163086
0,1600448,5.673123836517334
0,1606848,5.701497554779053
0,1613248,5.7995405197143555
0,1619648,5.740237712860107
0,1626048,5.781146049499512
0,1632448,5.674637794494629
0,1638848,5.665221214294434
0,1645248,5.722370624542236
0,1651648,5.665899753570557
0,1658048,5.609373092651367
0,1664448,5.792995929718018
0,1670848,5.82765531539917
0,1677248,5.8299946784973145
0,1683648,5.6702656745910645
0,1690048,5.693591117858887
0,1696448,5.791463375091553
0,1702848,5.749790668487549
0,1709248,5.704983234405518
0,1715648,5.852293491363525
0,1722048,5.801541805267334
0,1728448,5.709195137023926
0,1734848,5.825474739074707
0,1741248,5.7519145011901855
0,1747648,5.890355587005615
0,1754048,5.743841171264648
0,1760448,5.700777053833008
0,1766848,5.74879789352417
0,1773248,5.720149517059326
0,1779648,5.777355194091797
0,1786048,5.758237838745117
0,1792448,5.734129428863525
0,1798848,5.673982620239258
0,1805248,5.8204193115234375
0,1811648,5.688050746917725
0,1818048,5.706536769866943
0,1824448,5.703407287597656
0,1830848,5.741630554199219
0,1837248,5.785088539123535
0,1843648,5.709099769592285
0,1850048,5.82533597946167
0,1856448,5.726467132568359
0,1862848,5.715396404266357
0,1869248,5.689991474151611
0,1875648,5.803391933441162
0,1882048,5.741122245788574
0,1888448,5.723516941070557
0,1894848,5.735689640045166
0,1901248,5.777460098266602
0,1907648,5.76517391204834
0,1914048,5.728973865509033
0,1920448,5.596606731414795
0,1926848,5.645608425140381
0,1933248,5.76917028427124
0,1939648,5.684160232543945
0,1946048,5.84410285949707
0,1952448,5.712673664093018
0,1958848,5.729620933532715
0,1965248,5.68026876449585
0,1971648,5.810011386871338
0,1978048,5.699125289916992
0,1984448,5.675599575042725
0,1990848,5.753597259521484
0,1997248,5.566152095794678
0,1997696,5.655210494995117
0,2004096,5.6661376953125
0,2010496,5.698923587799072
0,2016896,5.618817329406738
0,2023296,5.711487293243408
0,2029696,5.632379055023193
0,2036096,5.785689353942871
0,2042496,5.763127326965332
0,2048896,5.67419958114624
0,2055296,5.746188163757324
0,2061696,5.614241123199463
0,2068096,5.613720417022705
0,2074496,5.647274494171143
0,2080896,5.633438587188721
0,2087296,5.708347797393799
0,2093696,5.776785850524902
0,2100096,5.789440631866455
0,2106496,5.758809566497803
0,2112896,5.72430419921875
0,2119296,5.715362071990967
0,2125696,5.782054424285889
0,2132096,5.717843055725098
0,2138496,5.8352952003479
0,2144896,5.696725845336914
0,2151296,5.736861228942871
0,2157696,5.690039157867432
0,2164096,5.722246170043945
0,2170496,5.647611141204834
0,2176896,5.62299919128418
0,2183296,5.703067779541016
0,2189696,5.669985294342041
0,2196096,5.651304244995117
0,2202496,5.706337928771973
0,2208896,5.635846138000488
0,2215296,5.641904830932617
0,2221696,5.67551326751709
0,2228096,5.749886512756348
0,2234496,5.689055442810059
0,2240896,5.70317268371582
0,2247296,5.76666784286499
0,2253696,5.69575834274292
0,2260096,5.676350116729736
0,2266496,5.64764928817749
0,2272896,5.755762100219727
0,2279296,5.705503463745117
0,2285696,5.732817649841309
0,2292096,5.670263767242432
0,2298496,5.654566287994385
0,2304896,5.698471546173096
0,2311296,5.571451663970947
0,2317696,5.699102401733398
0,2324096,5.706335067749023
0,2330496,5.65826416015625
0,2336896,5.762755870819092
0,2343296,5.636475563049316
0,2349696,5.748341083526611
0,2356096,5.758934020996094
0,2362496,5.707842826843262
0,2368896,5.689298629760742
0,2375296,5.721096992492676
0,2381696,5.720020294189453
0,2388096,5.732591152191162
0,2394496,5.783278942108154
0,2400896,5.643350124359131
0,2407296,5.690670967102051
0,2413696,5.664690017700195
0,2420096,5.757320880889893
0,2426496,5.626950263977051
0,2432896,5.630331516265869
0,2439296,5.645602703094482
0,2445696,5.653251647949219
0,2452096,5.70671272277832
0,2458496,5.77112340927124
0,2464896,5.763890743255615
0,2471296,5.568138122558594
0,2477696,5.587490558624268
0,2484096,5.765681266784668
0,2490496,5.6974568367004395
0,2496896,5.532683372497559
0,2503296,5.788646697998047
0,2509696,5.698134899139404
0,2516096,5.699142932891846
0,2522496,5.62951135635376
0,2528896,5.665359973907471
0,2535296,5.639186382293701
0,2541696,5.646346092224121
0,2548096,5.706171035766602
0,2554496,5.746343612670898
0,2560896,5.7180986404418945
0,2567296,5.612540245056152
0,2573696,5.707852840423584
0,2580096,5.6304402351379395
0,2586496,5.636950969696045
0,2592896,5.519047260284424
0,2599296,5.619332790374756
0,2605696,5.6784539222717285
0,2612096,5.560125827789307
0,2618496,5.685915946960449
0,2624896,5.635821342468262
0,2631296,5.644670486450195
0,2637696,5.6100053787231445
0,2644096,5.737550735473633
0,2650496,5.690002918243408
0,2656896,5.629228591918945
0,2663296,5.702907085418701
0,2669696,5.694540500640869
0,2676096,5.668745040893555
0,2682496,5.740982532501221
0,2688896,5.71281099319458
0,2695296,5.6843695640563965
0,2701696,5.639885425567627
0,2708096,5.691018581390381
0,2714496,5.715314865112305
0,2720896,5.727086067199707
0,2727296,5.598543643951416
0,2733696,5.672426700592041
0,2740096,5.587270736694336
0,2746496,5.676212310791016
0,2752896,5.669991493225098
0,2759296,5.639747142791748
0,2765696,5.699137210845947
0,2772096,5.657612323760986
0,2778496,5.635613441467285
0,2784896,5.764802932739258
0,2791296,5.669195652008057
0,2797696,5.5175042152404785
0,2804096,5.591458320617676
0,2810496,5.771822452545166
0,2816896,5.708322525024414
0,2823296,5.691664695739746
0,2829696,5.685577392578125
0,2836096,5.69270133972168
0,2842496,5.734019756317139
0,2848896,5.656498908996582
0,2855296,5.658863544464111
0,2861696,5.668157577514648
0,2868096,5.669557094573975
0,2874496,5.6862311363220215
0,2880896,5.703102111816406
0,2887296,5.567961692810059
0,2893696,5.655943870544434
0,2900096,5.52243709564209
0,2906496,5.6692423820495605
0,2912896,5.729485988616943
0,2919296,5.683383941650391
0,2925696,5.705751419067383
0,2932096,5.536872863769531
0,2938496,5.736453533172607
0,2944896,5.561377048492432
0,2951296,5.547251224517822
0,2957696,5.675465106964111
0,2964096,5.587305068969727
0,2970496,5.6343302726745605
0,2976896,5.683481693267822
0,2983296,5.669439792633057
0,2989696,5.640742301940918
0,2996096,5.706706523895264
0,2996544,5.605202674865723
0,3002944,5.664453506469727
0,3009344,5.5822296142578125
0,3015744,5.5891032218933105
0,3022144,5.607242107391357
0,3028544,5.5277533531188965
0,3034944,5.637305736541748
0,3041344,5.738912105560303
0,3047744,5.6348795890808105
0,3054144,5.6467437744140625
0,3060544,5.716820240020752
0,3066944,5.62980318069458
0,3073344,5.580756187438965
0,3079744,5.642431735992432
0,3086144,5.520155429840088
0,3092544,5.733391761779785
0,3098944,5.653867244720459
0,3105344,5.73689079284668
0,3111744,5.647754669189453
0,3118144,5.673929691314697
0,3124544,5.677204608917236
0,3130944,5.675216197967529
0,3137344,5.683906078338623
0,3143744,5.578208923339844
0,3150144,5.6743388175964355
0,3156544,5.758737087249756
0,3162944,5.640348434448242
0,3169344,5.713206768035889
0,3175744,5.706696510314941
0,3182144,5.656790256500244
0,3188544,5.6726579666137695
0,3194944,5.73848819732666
0,3201344,5.670494079589844
0,3207744,5.610742568969727
0,3214144,5.611353397369385
0,3220544,5.693522930145264
0,3226944,5.759452819824219
0,3233344,5.638293266296387
0,3239744,5.695112228393555
0,3246144,5.660627841949463
0,3252544,5.671308994293213
0,3258944,5.692558288574219
0,3265344,5.688464641571045
0,3271744,5.637660503387451
0,3278144,5.682152271270752
0,3284544,5.557961940765381
0,3290944,5.5984883308410645
0,3297344,5.670264720916748
0,3303744,5.597865104675293
0,3310144,5.53080940246582
0,3316544,5.741016864776611
0,3322944,5.654873371124268
0,3329344,5.615922451019287
0,3335744,5.567070007324219
0,3342144,5.567702770233154
0,3348544,5.5777106285095215
0,3354944,5.624427318572998
0,3361344,5.604267597198486
0,3367744,5.688048362731934
0,3374144,5.636801242828369
0,3380544,5.700979709625244
0,3386944,5.718790054321289
0,3393344,5.685513019561768
0,3399744,5.596806526184082
0,3406144,5.675700664520264
0,3412544,5.7094645500183105
0,3418944,5.5656023025512695
0,3425344,5.603463649749756
0,3431744,5.674417018890381
0,3438144,5.571506023406982
0,3444544,5.6778059005737305
0,3450944,5.5727667808532715
0,3457344,5.627616882324219
0,3463744,5.653660297393799
0,3470144,5.460651874542236
0,3476544,5.692392349243164
0,3482944,5.695423126220703
0,3489344,5.663527965545654
0,3495744,5.625921249389648
0,3502144,5.602008819580078
0,3508544,5.697329998016357
0,3514944,5.653258323669434
0,3521344,5.618803024291992
0,3527744,5.492947101593018
0,3534144,5.612398147583008
0,3540544,5.6669745445251465
0,3546944,5.737797737121582
0,3553344,5.669342041015625
0,3559744,5.6617841720581055
0,3566144,5.644895553588867
0,3572544,5.548412799835205
0,3578944,5.557861804962158
0,3585344,5.685630798339844
0,3591744,5.57496452331543
0,3598144,5.536660671234131
0,3604544,5.574592590332031
0,3610944,5.669757843017578
0,3617344,5.658242702484131
0,3623744,5.648530960083008
0,3630144,5.643719673156738
0,3636544,5.623202800750732
0,3642944,5.714791774749756
0,3649344,5.55999755859375
0,3655744,5.651072025299072
0,3662144,5.734914779663086
0,3668544,5.727249622344971
0,3674944,5.581402778625488
0,3681344,5.680514335632324
0,3687744,5.663394451141357
0,3694144,5.622138500213623
0,3700544,5.615513324737549
0,3706944,5.699171543121338
0,3713344,5.55617094039917
0,3719744,5.56012487411499
0,3726144,5.5494794845581055
0,3732544,5.643474102020264
0,3738944,5.670554161071777
0,3745344,5.605587005615234
0,3751744,5.688755035400391
0,3758144,5.650656700134277
0,3764544,5.670585632324219
0,3770944,5.689737319946289
0,3777344,5.600772857666016
0,3783744,5.671269416809082
0,3790144,5.536709308624268
0,3796544,5.573379039764404
0,3802944,5.664261341094971
0,3809344,5.6413469314575195
0,3815744,5.629904270172119
0,3822144,5.653088569641113
0,3828544,5.465214729309082
0,3834944,5.59771203994751
0,3841344,5.633059978485107
0,3847744,5.621315956115723
0,3854144,5.686262130737305
0,3860544,5.659481048583984
0,3866944,5.652720928192139
0,3873344,5.628410816192627
0,3879744,5.627010822296143
0,3886144,5.648106098175049
0,3892544,5.682417869567871
