,iteration,loss
0,0,8.369759559631348
0,6400,8.311535835266113
0,12800,8.290389060974121
0,19200,8.211858749389648
0,25600,8.130599975585938
0,32000,8.067898750305176
0,38400,7.991060256958008
0,44800,7.85883903503418
0,51200,7.689976692199707
0,57600,7.653930187225342
0,64000,7.6390814781188965
0,70400,7.625599384307861
0,76800,7.518675804138184
0,83200,7.4042768478393555
0,89600,7.278275489807129
0,96000,7.223965167999268
0,102400,7.148426532745361
0,108800,7.117170333862305
0,115200,7.0085601806640625
0,121600,6.850187301635742
0,128000,6.733958721160889
0,134400,6.683170318603516
0,140800,6.6266350746154785
0,147200,6.629209041595459
0,153600,6.485652923583984
0,160000,6.464657783508301
0,166400,6.336057662963867
0,172800,6.264298915863037
0,179200,6.125074863433838
0,185600,6.074829578399658
0,192000,6.089148998260498
0,198400,5.973062992095947
0,204800,5.850993633270264
0,211200,5.843698501586914
0,217600,5.741626262664795
0,224000,5.769922256469727
0,230400,5.735640048980713
0,236800,5.715859889984131
0,243200,5.553690433502197
0,249600,5.656512260437012
0,256000,5.591052532196045
0,262400,5.510993003845215
0,268800,5.528987407684326
0,275200,5.486300468444824
0,281600,5.4842705726623535
0,288000,5.490471363067627
0,294400,5.472394943237305
0,300800,5.365545272827148
0,307200,5.404395580291748
0,313600,5.380151271820068
0,320000,5.383377552032471
0,326400,5.345789909362793
0,332800,5.319162845611572
0,339200,5.343256950378418
0,345600,5.305728435516357
0,352000,5.30759859085083
0,358400,5.333702087402344
0,364800,5.306063175201416
0,371200,5.317096710205078
0,377600,5.195028305053711
0,384000,5.222011089324951
0,390400,5.171894550323486
0,396800,5.199075222015381
0,403200,5.115971565246582
0,409600,5.117526054382324
0,416000,5.1036882400512695
0,422400,5.133756160736084
0,428800,5.141091346740723
0,435200,5.060640335083008
0,441600,5.142014503479004
0,448000,5.078780651092529
0,454400,5.070550441741943
0,460800,5.0586113929748535
0,467200,4.996260166168213
0,473600,4.997777462005615
0,480000,4.916736602783203
0,486400,5.044641494750977
0,492800,5.010025501251221
0,499200,4.939279556274414
0,505600,4.903509616851807
0,512000,4.921899795532227
0,518400,5.027233123779297
0,524800,5.041811943054199
0,531200,4.925122261047363
0,537600,4.887721061706543
0,544000,4.891621112823486
0,550400,4.916717529296875
0,556800,4.9913530349731445
0,563200,4.9715142250061035
0,569600,4.947249412536621
0,576000,4.783221244812012
0,582400,4.815404891967773
0,588800,4.86761474609375
0,595200,4.8987507820129395
0,601600,4.850640296936035
0,608000,4.849513053894043
0,614400,4.823035717010498
0,620800,4.78643274307251
0,627200,4.840169906616211
0,633600,4.879018306732178
0,640000,4.888114929199219
0,646400,4.906781196594238
0,652800,4.765668869018555
0,659200,4.916518688201904
0,665600,4.790186882019043
0,672000,4.7758917808532715
0,678400,4.815105438232422
0,684800,4.917311191558838
0,691200,4.846444129943848
0,697600,4.857155799865723
0,704000,4.849720478057861
0,710400,4.825545787811279
0,716800,4.71108865737915
0,723200,4.771076679229736
0,729600,4.864552974700928
0,736000,4.795591831207275
0,742400,4.783016204833984
0,748800,4.712722301483154
0,755200,4.749208450317383
0,761600,4.759244918823242
0,768000,4.783424377441406
0,774400,4.528045177459717
0,780800,4.7461395263671875
0,787200,4.771233081817627
0,793600,4.7101149559021
0,800000,4.678804874420166
0,806400,4.694984436035156
0,812800,4.707461357116699
0,819200,4.782924175262451
0,825600,4.672932147979736
0,832000,4.767310619354248
0,838400,4.749629974365234
0,844800,4.709979057312012
0,851200,4.75821590423584
0,857600,4.802056789398193
0,864000,4.757182598114014
0,870400,4.70947265625
0,876800,4.673691272735596
0,883200,4.680057525634766
0,889600,4.687519073486328
0,896000,4.652753829956055
0,902400,4.7077836990356445
0,908800,4.713324069976807
0,915200,4.621074199676514
0,921600,4.714926242828369
0,928000,4.6260986328125
0,934400,4.611573696136475
0,940800,4.665230751037598
0,947200,4.682914733886719
0,953600,4.702278137207031
0,960000,4.682963848114014
