,step,reward,total_reward,score
0,0,0.5855578496290041,0.5855578496290041,-0.00022729795975128244
0,1,0.17696634087764868,0.7625241905066529,-0.00018874883671762534
0,2,-0.07413480631173597,0.6883893841949169,-0.0002048978498882333
0,3,-0.3036052578133485,0.3847841263815684,-0.0002710331182057474
0,4,-0.2521160835076669,0.1326680428739015,-0.00032595234111390623
0,5,-0.061394739548888605,0.07127330332501289,-0.0003393261463061928
0,6,0.3160010937721793,0.38727439709719214,-0.000270490654866518
0,7,0.22626819396574288,0.6135425910629351,-0.00022120195734058932
0,8,0.16524653658414049,0.7787891276470755,-0.0001852057953694723
0,9,0.5680278928584475,1.346817020505523,-6.147053012211967e-05
0,10,0.8912420772644186,2.2380590977699417,0.00013267147631170116
0,11,1.2631323065182427,3.5011914042881846,0.00040782347668799884
0,12,1.799402659075712,5.300594063363897,0.0007997928995047216
0,13,2.2717155228608195,7.572309586224716,0.0012946476880137778
0,14,2.324382753971009,9.896692340195724,0.0018009751416739567
0,15,2.194626817173682,12.091319157369405,0.002279037460014386
0,16,2.0592350143932068,14.15055417176261,0.0027276069649912757
0,17,1.7661440600349776,15.91669823179759,0.0031123315647530046
0,18,1.4805899402829708,17.39728817208056,0.0034348530311929092
0,19,1.4441154628887918,18.841403634969353,0.0037494291498922023
0,20,1.417708172812585,20.259111807781938,0.004058252887268105
0,21,1.4088241072338457,21.667935915015782,0.004365141381278884
0,22,1.4346869535187712,23.102622868534553,0.004677663658745282
0,23,1.4911819905416268,24.59380485907618,0.005002492424113189
0,24,1.5257225045275422,26.119527363603723,0.005334845256016491
0,25,1.5414295529745587,27.660956916578282,0.005670619602655742
0,26,1.5590324093615866,29.21998932593987,0.0060102284337130015
0,27,1.615262157792092,30.835251483731962,0.006362085964040693
0,28,1.6629420388426022,32.49819352257457,0.006724329749696549
0,29,1.6779897911556083,34.17618331373018,0.007089851433581058
0,30,1.7605169315633564,35.93670024529354,0.00747335025861804
0,31,1.7956683335731722,37.73236857886671,0.007864506221810006
0,32,1.8125534832151031,39.54492206208182,0.008259340329149385
0,33,1.8254276212089027,41.37034968329072,0.008656978849616222
0,34,1.871186150252176,43.2415358335429,0.00906458509138633
0,35,1.8980547341898508,45.139590567732746,0.009478044199542311
0,36,1.911905482119612,47.05149604985236,0.009894520458775749
0,37,1.907902522958635,48.959398572811,0.010310124741087303
0,38,1.9541794269286359,50.91357799973963,0.01073580966390885
0,39,1.9856588423834236,52.89923684212305,0.011168351844745543
0,40,2.042280040615706,54.94151688273876,0.01161322799556853
0,41,2.107093533544412,57.048610416283175,0.012072222669161208
0,42,2.212057737368474,59.26066815365165,0.012554082018529384
0,43,2.435867219870176,61.696535373521826,0.013084694476733223
0,44,2.76916778322325,64.46570315674508,0.01368791082311243
0,45,3.2130196842657845,67.67872284101087,0.014387812796019006
