,epoch,total_reward
0,0,75.90326850345836
0,1,175.6881663768924
0,2,831.9746814624715
0,3,711.8711095898541
0,4,976.2421268001059
0,5,752.2443791098686
0,6,846.8267631225641
0,7,17.39471031765592
0,8,835.9667769453761
0,9,938.8304102185045
0,10,662.3142649390272
0,11,932.6519653822252
0,12,874.7298148163578
0,13,892.4576555609027
0,14,894.4834081126997
0,15,913.9914239483963
0,16,776.0610003545379
0,17,364.4541366807393
0,18,263.57492573873907
0,19,751.3598591001
0,20,848.9739989089911
0,21,926.498921944262
0,22,840.5033598509501
0,23,265.4766885662082
0,24,810.7169167724205
0,25,709.8759916896213
0,26,274.6900118414485
0,27,737.9908398711217
0,28,203.6210502411878
0,29,238.15043786126049
0,30,948.0052910172442
0,31,116.86608763334029
0,32,881.5584825950223
0,33,247.4897543242447
0,34,756.8506639771186
0,35,822.0404191287166
0,36,833.0433686286538
0,37,909.5971583903006
0,38,855.5377710904714
0,39,995.0279143062651
0,40,860.8409579929414
0,41,9.745294637538429
0,42,799.1957655816154
0,43,898.2152588548969
0,44,1016.8947932993576
0,45,860.4198511503146
0,46,788.077714454539
0,47,827.2801273896205
0,48,1057.0712458577964
0,49,723.3184805412104
