,step,reward,total_reward,score
0,0,0.235687243225787,0.235687243225787,0.022586435628901384
0,1,-0.15412021794187325,0.08156702528391374,0.02257402177497907
0,2,-0.8025384486987905,-0.7209714234148767,0.022509380060853408
0,3,-0.7398711814532819,-1.4608426048681586,0.022449785979748803
0,4,0.3148024177672155,-1.1460401871009431,0.022475142232683935
0,5,0.02411081075435395,-1.1219293763465892,0.022477084275633587
0,6,-0.038060206068476155,-1.1599895824150654,0.02247401865682837
0,7,0.4517788436277361,-0.7082107387873293,0.022510407890148167
0,8,0.13981912143376124,-0.5683916173535681,0.022521669839892355
0,9,0.16977846516889006,-0.3986131521846781,0.022535344911819355
0,10,0.9171138724383865,0.5185007202537084,0.022609215282589707
0,11,1.1350935557257646,1.653594275979473,0.0227006431677634
0,12,0.5670098782144313,2.2206041541939046,0.02274631386492862
0,13,0.5189186598925017,2.7395228140864063,0.022788110979723095
0,14,0.691257591059839,3.4307804051462454,0.022843789403181727
0,15,1.1144738229048439,4.545254228051089,0.022933556439736245
0,16,1.231661799868673,5.776916027919762,0.023032762565119647
0,17,1.0582367195656677,6.83515274748543,0.023117999896258557
0,18,1.0175107159465298,7.852663463431959,0.02319995688776053
0,19,1.2419815245789916,9.09464498801095,0.023299994231505694
0,20,1.2413447677459497,10.3359897557569,0.023399980286676166
0,21,1.3268090467631475,11.662798802520047,0.023506850195824158
0,22,1.861483333264613,13.52428213578466,0.023656786281345894
0,23,2.3294931749952337,15.853775310779893,0.023844418951306907
0,24,2.590628308082317,18.44440361886221,0.024053085158849276
0,25,2.3604289427588556,20.804832561621065,0.024243209598593135
0,26,2.1347970130633387,22.939629574684403,0.024415160161782357
0,27,2.1455511009881594,25.08518067567256,0.024587976929797584
0,28,2.1177978812310174,27.202978556903577,0.024758558271335097
0,29,2.1452163848606323,29.34819494176421,0.024931348079116504
0,30,2.329065017893427,31.677259959657636,0.025118946262494328
0,31,3.346784958650928,35.02404491830856,0.025388518289713655
0,32,3.5061118895469274,38.53015680785549,0.02567092355369092
0,33,3.173592834287777,41.703749642143265,0.025926545550466158
0,34,2.957010814446768,44.66076045659003,0.026164722609825598
0,35,3.5569285440008342,48.217689000590866,0.026451220980688094
0,36,3.8348889350882978,52.05257793567917,0.026760108105843998
0,37,3.5897422522025186,55.64232018788169,0.02704924950813809
0,38,4.3637455263932505,60.00606571427494,0.027400734214312127
0,39,4.011038461811966,64.0171041760869,0.02772380957850917
