,step,reward,total_reward,score
0,0,0.6984716545003993,0.6984716545003993,-0.00020270159789739092
0,1,0.2666216110121462,0.9650932655125455,-0.00014462259126050097
0,2,-0.07504757760220304,0.8900456879103424,-0.00016097043621235785
0,3,-0.03140354262321669,0.8586421452871258,-0.00016781116661493788
0,4,0.3175149283769763,1.176157073664102,-9.864591192116909e-05
0,5,0.6467009529750968,1.822858026639199,4.2226948299500115e-05
0,6,0.6948768184229708,2.5177348450621695,0.00019359410565708635
0,7,0.5692530486899872,3.0869878937521564,0.0003175962503723151
0,8,0.4786672420931118,3.5656551358452684,0.0004218658098609538
0,9,0.3946400017701892,3.9602951376154576,0.0005078314568127642
0,10,0.6764858468024768,4.636780984417935,0.0006551924521838908
0,11,0.9947120268169364,5.631493011234871,0.0008718736363834089
0,12,0.9176947304461299,6.549187741681001,0.0010717779057255953
0,13,0.8211551326453882,7.370342874326389,0.001250652657167462
0,14,0.9593493263440754,8.329692200670465,0.00145963067541706
0,15,1.286594019933762,9.616286220604227,0.0017398934130813063
0,16,1.6198245632473725,11.236110783851599,0.002092744786240085
0,17,1.6713175250562469,12.907428308907846,0.0024568130298517035
0,18,1.3681904969235688,14.275618805831416,0.0027548501793899444
0,19,1.0690605658638574,15.344679371695273,0.002987726934820005
0,20,1.0959856118459694,16.440664983541243,0.0032264688559369625
0,21,1.0564196496037355,17.49708463314498,0.003456592001648063
0,22,1.047757399973477,18.544842033118456,0.0036848282228452186
0,23,1.0631812003261727,19.60802323344463,0.003916424257973622
0,24,1.0766529956197324,20.68467622906436,0.0041509548957596835
0,25,1.121449152189575,21.80612538125394,0.004395243618289328
0,26,1.1649824207697186,22.971107802023656,0.004649015326782463
0,27,1.1782884383434447,24.1493962403671,0.004905685526062004
0,28,1.1564581735618307,25.30585441392893,0.005157600371533864
0,29,1.2010236669064798,26.50687808083541,0.005419223055668593
0,30,1.2801302517192021,27.787008332554613,0.005698077770796303
0,31,1.2950612723551755,29.08206960490979,0.005980184956131962
0,32,1.3213146916289498,30.40338429653874,0.006268011004640243
0,33,1.3607927767274683,31.764177073266207,0.006564436686005532
0,34,1.3994418575966994,33.16361893086291,0.006869281415683494
0,35,1.4791720836076923,34.6427910144706,0.007191494026037273
0,36,1.5957175855306829,36.23850860000129,0.00753909410199817
0,37,1.6526098543776957,37.89111845437898,0.00789908719609218
0,38,1.6608262208410147,39.55194467522,0.0082608700865967
0,39,1.68785373137717,41.23979840659717,0.008628540462957482
0,40,1.7255081255661173,42.96530653216328,0.009004413211968052
0,41,1.7422010116141082,44.70750754377739,0.009383922223755257
0,42,1.7750050106097683,46.48251255438716,0.009770577031669612
0,43,1.8341630453690863,48.316675599756245,0.010170118416483602
0,44,1.856875262654785,50.17355086241103,0.010574607273535368
0,45,1.8812349765564618,52.05478583896749,0.010984402482086542
0,46,1.9478115176719875,54.00259735663948,0.01140870026362357
0,47,1.9848907692140783,55.98748812585355,0.011841075132716362
0,48,1.9884592203288214,57.97594734618237,0.012274227328505177
0,49,2.005333768588554,59.98128111477093,0.012711055359109675
0,50,2.015027837680812,61.99630895245174,0.0131499950786392
0,51,2.0209235882541443,64.01723254070589,0.013590219087673161
0,52,2.0230503908464184,66.04028293155231,0.014030906384665675
0,53,2.062881427380703,68.10316435893301,0.014480270199013427
0,54,2.1053631219961977,70.2085274809292,0.014938887931729436
0,55,2.076756914938705,72.2852843958679,0.015391274286264056
0,56,2.1206059937992516,74.40589038966715,0.01585321242068814
0,57,2.181999951956295,76.58789034162345,0.016328524190091523
0,58,2.1682991649611454,78.75618950658459,0.016800851474869663
0,59,2.1346818721540943,80.89087137873868,0.017265855801225034
0,60,2.0952027952250845,82.98607417396377,0.017722260278669903
0,61,2.1295193021565315,85.11559347612031,0.018186140026503626
0,62,2.1838831014839215,87.29947657760422,0.018661862008168113
0,63,2.1845621890723494,89.48403876667658,0.019137731917573363
0,64,2.1755862715763046,91.65962503825288,0.019611646575227466
0,65,2.2459349162825157,93.9055599545354,0.02010088549480947
0,66,2.307018776718453,96.21257873125386,0.020603430499829174
0,67,2.2795601873537983,98.49213891860765,0.021099994115763816
0,68,2.2583105792649056,100.75044949787255,0.021591928864126395
0,69,2.3161828937266855,103.06663239159924,0.02209647011697658
0,70,2.3610101892949884,105.42764258089423,0.022610776237674282
0,71,2.3061085332706392,107.73375111416487,0.02311312296156049
0,72,2.3152509764647897,110.04900209062967,0.023617461212003508
0,73,2.349610638620368,112.39861272925003,0.02412928413347075
0,74,2.355398310429877,114.75401103967991,0.024642367801312456
0,75,2.3525536260303106,117.10656466571022,0.025154831802790677
0,76,2.3981005331620135,119.50466519887223,0.025677217427319442
0,77,2.4385065995037545,121.94317179837599,0.026208404829717317
0,78,2.352770003546564,124.29594180192255,0.026720915965376277
0,79,2.443149498533014,126.73909130045557,0.027253114744768353
0,80,2.590094270354026,129.32918557080959,0.027817322956349554
0,81,2.508784300651409,131.83796987146098,0.02836381916682148
0,82,2.4090864544331376,134.24705632589414,0.028888597888413897
0,83,2.455434998776011,136.70249132467015,0.029423472856159354
0,84,2.5703611814807656,139.2728525061509,0.029983382548219632
0,85,2.57142412648006,141.84427663263097,0.030543523784862636
0,86,2.6415829862322755,144.48585961886323,0.031118947941992534
0,87,2.890328548784229,147.37618816764746,0.03174855711107067
0,88,2.983292742312396,150.35948090995984,0.032398416956725316
0,89,2.841512480011137,153.200993389971,0.03301739237120459
0,90,2.7451059999512495,155.94609938992224,0.03361536726523098
0,91,2.8392944992324742,158.7853938891547,0.034233859530126545
